Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1.00,tseries,Entertainment,249500000,IN,86200,2700,78,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2.00,MrBeast,Entertainment,183500000,US,117400000,5300000,18500,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
3.00,CoComelon,Music,165500000,US,7000000,24700,0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
4.00,SETIndia,Entertainment,162600000,IN,15600,166,9,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5.00,KidsDianaShow,Hobby,113500000,US,3900000,12400,0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
6.00,PewDiePie,Action_game,111500000,JP,2400000,197300,4900,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
7.00,LikeNastyaofficial,Lifestyle_(sociology),107500000,US,2600000,28000,0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8.00,VladandNiki,Hobby,101400000,US,4100000,22100,0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
9.00,zeemusiccompany,Music_of_Asia,99700000,IN,74300,2600,32,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10.00,WWE,Entertainment,97200000,US,184500,6300,214,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
11.00,BLACKPINK,Music,91300000,KR,863200,146900,3400,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
12.00,GoldminesTelefilms,Entertainment,89700000,IN,34600,421,13,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
13.00,SonySAB,Film,85400000,IN,35500,615,21,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14.00,5MinuteCraftsYouTube,Lifestyle_(sociology),80300000,US,164600,703,35,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
15.00,BTS,Music,76500000,KR,969700,180300,7400,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16.00,HYBELABELS,Pop_music,72700000,KR,440700,23900,932,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
17.00,zeetv,Entertainment,72500000,IN,7300,144,1,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
18.00,Pinkfong,Entertainment,69600000,US,506400,397,0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
19.00,ChuChuTV,Film,67500000,IN,652100,17800,0,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
20.00,KondZilla,Hip_hop_music,66600000,BR,30400,1100,4,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
21.00,colorstv,Entertainment,66600000,IN,14700,413,3,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA
22.00,filmigaane,Music,66400000,IN,33000,392,18,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
23.00,TSeriesBhaktiSagar,Music_of_Asia,62600000,IN,24900,983,35,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g
24.00,tipsofficial,Music_of_Asia,60900000,IN,80200,935,22,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w
25.00,MOVIECLIPS,Film,59900000,US,16600,231,9,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
26.00,ElReinoInfantil,Entertainment,59700000,AR,393000,2600,0,http://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA
27.00,dudeperfect,Lifestyle_(sociology),59700000,US,5300000,156500,4200,http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
28.00,aajtak,Society,58900000,IN,7600,229,4,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA
29.00,WaveMusicIndia,Music,58700000,IN,36600,792,54,http://youtube.com/channel/UC22nIfOTM7KLIQuFGMKzQbg
30.00,SonyMusicIndia,Music_of_Asia,57900000,IN,26300,964,21,http://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg
31.00,marshmello,Music,56700000,US,145900,8900,167,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
32.00,yrf,Film,55700000,IN,60300,2100,33,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA
33.00,infobellshindirhymes,Film,55700000,IN,1200000,34700,0,http://youtube.com/channel/UC1ciY6kR3yj3kaKZ6R7ewAg
34.00,LooLooKids,Music,54800000,US,595600,2700,0,http://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
35.00,TaylorSwift,Music,54100000,US,4300000,300400,15000,http://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g
36.00,EdSheeran,Pop_music,53700000,GB,144200,10200,345,http://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A
37.00,BillionSurpriseToys,Film,53100000,US,1600000,0,0,http://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q
38.00,ArianaGrande,Pop_music,52900000,US,1100000,85800,3800,http://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g
39.00,shemaroo,Television_program,48800000,IN,22600,163,7,http://youtube.com/channel/UCF1JIbMUs6uqoZEY1Haw0GQ
40.00,JuegaGerman,Video_game_culture,48600000,CL,2000000,117100,3000,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg
41.00,BillieEilish,Pop_music,48600000,US,208100,27200,476,http://youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ
42.00,getmovies,Film,48100000,RU,55700,329,0,http://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA
43.00,sonymusicindiaVEVO,Music_of_Asia,47500000,IN,36600,664,28,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ
44.00,A4a4a4a4,Lifestyle_(sociology),47300000,BY,9700000,330400,22000,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA
45.00,badabunOficial,Lifestyle_(sociology),47000000,MX,6800,260,4,http://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ
46.00,Fernanfloo,Entertainment,46500000,SV,0,0,0,http://youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ
47.00,BadBunnyPR,Music_of_Latin_America,46500000,PR,0,0,0,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
48.00,HarPalGeoOfficial,Film,46400000,PK,11000,299,2,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug
49.00,vootkids,Film,46000000,IN,540900,3400,0,http://youtube.com/channel/UCJg19noZp7-BYIGvypu_cow
50.00,ARYDigitalasia,Entertainment,45900000,PK,20000,242,13,http://youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q
51.00,felipeneto,Lifestyle_(sociology),45600000,BR,850600,82100,1100,http://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg
52.00,abscbnentertainment,Television_program,45000000,PH,6100,180,2,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw
53.00,vcsabiavideos,Entertainment,45000000,BR,665700,39800,593,http://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ
54.00,BRIGHTSIDEOFFICIAL,Film,44600000,CY,22700,430,21,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
55.00,KatyPerry,Pop_music,44400000,US,101400,7500,177,http://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
56.00,Shakira,Lifestyle_(sociology),44400000,CO,102100,8200,210,http://youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw
57.00,whindersson,Entertainment,44400000,BR,174600,35700,154,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw
58.00,MashaBearRUSSIAN,Television_program,44200000,RU,664500,5700,0,http://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q
59.00,Alanwalkermusic,Music,44000000,NO,124700,8200,205,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
60.00,MashaBearEN,Television_program,43700000,US,856200,7500,0,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw
61.00,HolaSoyGerman,Lifestyle_(sociology),43600000,CL,0,0,0,http://youtube.com/channel/UCZJ7m7EnCNodqnu5SAtg8eQ
62.00,Mikecrack,Action_game,43400000,ES,2200000,183400,1800,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ
63.00,toysandcolors,Lifestyle_(sociology),42900000,US,2000000,4600,0,http://youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A
64.00,speedrecords,Music_of_Asia,42900000,IN,21100,1100,30,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew
65.00,LikeNastya_Show,Hobby,42500000,US,972200,2400,0,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg
66.00,KimberlyLoaiza,Lifestyle_(sociology),42100000,MX,5300000,271300,16000,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ
67.00,IshtarMusic,Music_of_Asia,42100000,IN,32600,994,9,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ
68.00,luisitocomunica,Tourism,41100000,MX,2500000,128900,1800,http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA
69.00,LittleBabyBum,Music,41000000,US,99000,184,0,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q
70.00,shfa2,Lifestyle_(sociology),40600000,AE,585500,4800,0,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ
71.00,CarryMinati,Entertainment,40300000,IN,0,0,0,http://youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg
72.00,luccastoon,Film,40100000,BR,588600,13100,0,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA
73.00,SuperSimpleSongs,Music,39900000,CA,648400,10100,0,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q
74.00,JessNoLimit,Video_game_culture,39600000,ID,1300000,73500,1600,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA
75.00,xxxtentacion,Electronic_music,39500000,US,225700,28500,2900,http://youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw
76.00,SonyPAL,Entertainment,39500000,IN,21800,255,9,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg
77.00,WorkpointOfficial,Television_program,39400000,TH,6200,157,1,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg
78.00,gr6explode,Music,39300000,BR,120300,5700,236,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA
79.00,TEDx,Knowledge,39100000,US,160,3,0,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
80.00,GaaneSuneAnsune,Music,39100000,IN,28800,211,9,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w
81.00,shfa-1,Lifestyle_(sociology),39100000,AE,5300000,57300,0,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg
82.00,vladvaniki1,Hobby,38700000,US,890600,3400,0,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg
83.00,TheEllenShow,Television_program,38300000,US,26000,433,22,http://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ
84.00,DaddyYankee,Music_of_Latin_America,38300000,US,82800,6500,123,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
85.00,LikeNastya_ESP,Lifestyle_(sociology),38100000,US,403800,1800,0,http://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ
86.00,one31official,Television_program,38100000,TH,4800,122,1,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA
87.00,ABPNEWS,Society,38100000,IN,2400,59,0,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA
88.00,MariaClaraeJP,Lifestyle_(sociology),37700000,BR,1700000,10800,0,http://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA
89.00,YouTube,Association_football,37500000,US,101200,3400,364,http://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ
90.00,PowerKidstv,Film,37400000,IE,41700,0,0,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw
91.00,Jkk_Entertainment,Entertainment,37300000,IN,2300000,20100,363,http://youtube.com/channel/UC5tuYcCdiKuF5Y2ZonuarwA
92.00,UltraBollywood,Film,37300000,IN,24300,185,10,http://youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA
93.00,SaregamaMusic,Music_of_Asia,37000000,IN,27300,703,26,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q
94.00,RicisOfficial1795,Lifestyle_(sociology),36900000,ID,343800,27500,357,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
95.00,beterbocuk,Entertainment,36800000,TR,1000000,54100,214,http://youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ
96.00,IndiaTV,Politics,36700000,IN,14300,255,3,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ
97.00,LaGranjaDeZenon,Film,36600000,AR,599800,5200,0,http://youtube.com/channel/UCwpcLKMwiuPg4aqImpGk6Ew
98.00,tseriesoldisgold,Music_of_Asia,36500000,IN,41100,1200,8,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w
99.00,Ozuna,Hip_hop_music,36300000,PR,22700,2400,76,http://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA
100.00,TotalGaming093,Role-playing_video_game,36300000,IN,1500000,129400,4900,http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ
101.00,GenevievesPlayhouse,Hobby,35700000,US,965500,824,0,http://youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w
102.00,TechnoGamerzOfficial,Video_game_culture,35600000,IN,6200000,341800,16500,http://youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg
103.00,RyansWorld,Lifestyle_(sociology),35500000,US,326500,2000,0,http://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w
104.00,markiplier,Action-adventure_game,35500000,US,2100000,126500,3800,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
105.00,tseriesapnapunjab,Music,35000000,IN,23300,601,27,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g
106.00,JingleToons,Entertainment,35000000,IN,111400,641,0,http://youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag
107.00,thedonato,Lifestyle_(sociology),34700000,AR,710700,42400,541,http://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ
108.00,YOLOAVENTURAS,Lifestyle_(sociology),34600000,MX,1100000,73600,0,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
109.00,GeetMP3,Music,34500000,IN,0,0,0,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q
110.00,Rajshri,Film,34200000,IN,13700,119,4,http://youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw
111.00,starplus,Entertainment,34200000,IN,10500,267,6,http://youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ
112.00,jbalvin,Music,34200000,CO,16900,1600,60,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg
113.00,SSSniperWolf,Lifestyle_(sociology),34200000,US,1200000,34600,2100,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ
114.00,Ch3Thailand,Television_program,34000000,TH,34500,442,8,http://youtube.com/channel/UC48h7Dst_hX82HxOf3xJw_w
115.00,vegetta777,Action-adventure_game,34000000,ES,249900,19400,209,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ
116.00,NoCopyrightSounds,Electronic_music,33600000,GB,191100,6900,363,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg
117.00,KHANDESHIMOVIES,Film,33600000,IN,758300,6200,136,http://youtube.com/channel/UCP84QWij0alw4MvzqzyfOnw
118.00,babybus,Film,33300000,US,267300,623,0,http://youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA
119.00,DisneyMusicVEVO,Music,33200000,US,276900,3200,198,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg
120.00,KarolG,Hip_hop_music,33000000,CO,74000,2700,165,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw
121.00,WowKidz1,Entertainment,33000000,IN,17200,88,0,http://youtube.com/channel/UCN8S4CqMRy6tVKVXvs7Bzeg
122.00,PANDABOI,Food,33000000,IT,2500000,66600,183,http://youtube.com/channel/UC0Wju2yvRlfwqraLlz5152Q
123.00,erosentertainment,Entertainment,33000000,IN,7100,93,5,http://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw
124.00,gmanetwork,Television_program,32900000,PH,2600,83,1,http://youtube.com/channel/UCKL5hAuzgFQsyrsQKgU0Qng
125.00,LucasandMarcus,Technology,32800000,US,706100,23300,504,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA
126.00,AboFlah,Video_game_culture,32700000,KW,3300000,382000,11400,http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA
127.00,MRINDIANHACKER,Lifestyle_(sociology),32600000,IN,6500000,617400,26000,http://youtube.com/channel/UCSiDGb0MnHFGjs4E2WKvShw
128.00,FrostDiamond,Action_game,32600000,ID,316200,13200,386,http://youtube.com/channel/UC4hGmH5sABOA70D4fGb8qNQ
129.00,MrBean,Film,32400000,GB,204400,1800,73,http://youtube.com/channel/UCkAGrHCLFmlK3H2kd6isipg
130.00,WorldwideRecordsBhojpuri,Music_of_Asia,32200000,IN,44200,1600,29,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A
131.00,rezendeevil,Lifestyle_(sociology),32200000,BR,413400,15600,153,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg
132.00,SMTOWN,Pop_music,32200000,KR,132300,12700,505,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g
133.00,PeppaPigOfficial,Television_program,32200000,GB,110200,508,0,http://youtube.com/channel/UCAOtE1V7Ots4DjM8JLlrYgg
134.00,zeenews,Society,32100000,IN,14700,231,6,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ
135.00,fedevigevani,Technology,32000000,MX,7700000,412200,17000,http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA
136.00,dream,Action_game,31900000,US,3300000,309200,19000,http://youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
137.00,GENIALBrightSideSpanish,Lifestyle_(sociology),31800000,MX,15500,524,21,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA
138.00,luisfonsi,Music,31600000,US,20800,1400,67,http://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA
139.00,zhong,Entertainment,31400000,US,2900000,118300,887,http://youtube.com/channel/UCyagEfIN1okQ-s996XAqCFQ
140.00,MrBeast2,Entertainment,31300000,US,83100000,5000000,11600,http://youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g
141.00,fallontonight,Television_program,31200000,US,263100,3900,116,http://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g
142.00,dianaandromaesp331,Hobby,31100000,US,403500,714,0,http://youtube.com/channel/UCqNmJfc7RgMU6hTxOOuCYHQ
143.00,ShortsBreak_Official,Entertainment,31000000,IN,8600000,503400,704,http://youtube.com/channel/UCgJ5_1F6yJhYLnyMszUdmUg
144.00,ImagineDragons,Pop_music,31000000,US,77100,10700,217,http://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA
145.00,vladnikihindi,Lifestyle_(sociology),30900000,US,897100,3400,0,http://youtube.com/channel/UCUMxxg0KvWiSWHUXRPpnKzw
146.00,AttaHalilintar,Lifestyle_(sociology),30600000,ID,155300,7600,108,http://youtube.com/channel/UCaKLg1ELiX0zTJ6Je3c5esA
147.00,enaldinho,Entertainment,30600000,BR,1800000,63400,838,http://youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA
148.00,toyoraljanahtv,Religion,30600000,JO,131100,0,0,http://youtube.com/channel/UCozAuGJZ5MPoijz8IE_1Gtw
